XAl,XFe,a-Al(A1),a-Fe-alpha(A2)
0.6789999999999997,0.32100000000000023,0.022749,0.008786251
0.6779999999999997,0.32200000000000023,0.022749,0.008786251
0.6769999999999997,0.32300000000000023,0.022749,0.008786251
0.6759999999999997,0.32400000000000023,0.022749,0.008786251
0.6749999999999997,0.32500000000000023,0.022749,0.008786251
0.6739999999999997,0.32600000000000023,0.022749,0.008786251
0.6729999999999997,0.32700000000000023,0.022749,0.008786251
0.6719999999999997,0.32800000000000024,0.022749,0.008786251
0.6709999999999997,0.32900000000000024,0.022749,0.008786251
0.6699999999999997,0.33000000000000024,0.022749,0.008786251
0.6689999999999997,0.33100000000000024,0.022749,0.008786251
0.6679999999999997,0.33200000000000024,0.022749,0.008786251
0.6669999999999997,0.33300000000000024,0.022749,0.008786251
0.6659999999999997,0.33400000000000024,0.019546208,0.011895547
0.6649999999999997,0.33500000000000024,0.01522731,0.019549627
0.6639999999999997,0.33600000000000024,0.012397766,0.029375427
0.6629999999999997,0.33700000000000024,0.015790939,0.01818836
0.6619999999999997,0.33800000000000024,0.015790939,0.01818836
0.6609999999999997,0.33900000000000025,0.015790939,0.01818836
0.6599999999999997,0.34000000000000025,0.015790939,0.01818836
0.6589999999999997,0.34100000000000025,0.015790939,0.01818836
0.6579999999999997,0.34200000000000025,0.015790939,0.01818836
0.6569999999999997,0.34300000000000025,0.015790939,0.01818836
0.6559999999999997,0.34400000000000025,0.015790939,0.01818836
0.6549999999999997,0.34500000000000025,0.015790939,0.01818836
0.6539999999999997,0.34600000000000025,0.015790939,0.01818836
0.6529999999999997,0.34700000000000025,0.015790939,0.01818836
0.6519999999999997,0.34800000000000025,0.015790939,0.01818836
0.6509999999999997,0.34900000000000025,0.0046102135,0.0088162975
0.6499999999999997,0.35000000000000026,0.0046102135,0.0088162975
0.6489999999999997,0.35100000000000026,0.0046102135,0.0088162975
0.6479999999999997,0.35200000000000026,0.0022631901,0.036251874
0.6469999999999997,0.35300000000000026,0.0046102135,0.0088162975
0.6459999999999997,0.35400000000000026,0.0046102135,0.0088162975
0.6449999999999997,0.35500000000000026,0.0022631901,0.036251874
0.6439999999999997,0.35600000000000026,0.0046102135,0.0088162975
0.6429999999999997,0.35700000000000026,0.0046102135,0.0088162975
0.6419999999999997,0.35800000000000026,0.0046102135,0.0088162975
0.6409999999999997,0.35900000000000026,0.0046102135,0.0088162975
0.6399999999999997,0.36000000000000026,0.0022631901,0.036251874
0.6389999999999997,0.36100000000000027,0.0046102135,0.0088162975
0.6379999999999997,0.36200000000000027,0.0046102135,0.0088162975
0.6369999999999997,0.36300000000000027,0.0046102135,0.0088162975
0.6359999999999997,0.36400000000000027,0.0046102135,0.0088162975
0.6349999999999997,0.36500000000000027,0.0046102135,0.0088162975
0.6339999999999997,0.36600000000000027,0.0046102135,0.0088162975
0.6329999999999997,0.36700000000000027,0.0046102135,0.0088162975
0.6319999999999997,0.36800000000000027,0.0046102135,0.0088162975
0.6309999999999997,0.36900000000000027,0.0046102135,0.0088162975
0.6299999999999997,0.3700000000000003,0.0046102135,0.0088162975
0.6289999999999997,0.3710000000000003,0.0022631901,0.036251874
0.6279999999999997,0.3720000000000003,0.0046102135,0.0088162975
0.6269999999999997,0.3730000000000003,0.0046102135,0.0088162975
0.6259999999999997,0.3740000000000003,0.0046102135,0.0088162975
0.6249999999999997,0.3750000000000003,0.0046102135,0.0088162975
0.6239999999999997,0.3760000000000003,0.0046102135,0.0088162975
0.6229999999999997,0.3770000000000003,0.0046102135,0.0088162975
0.6219999999999997,0.3780000000000003,0.0046102135,0.0088162975
0.6209999999999997,0.3790000000000003,0.0046102135,0.0088162975
0.6199999999999997,0.3800000000000003,0.0046102135,0.0088162975
0.6189999999999997,0.3810000000000003,0.0022631901,0.036251874
0.6179999999999997,0.3820000000000003,0.0046102135,0.0088162975
0.6169999999999997,0.3830000000000003,0.0046102135,0.0088162975
0.6159999999999997,0.3840000000000003,0.0046102135,0.0088162975
0.6149999999999997,0.3850000000000003,0.0046102135,0.0088162975
0.6139999999999997,0.3860000000000003,0.0046102135,0.0088162975
0.6129999999999997,0.3870000000000003,0.0022631901,0.036251874
0.6119999999999997,0.3880000000000003,0.0046102135,0.0088162975
0.6109999999999997,0.3890000000000003,0.0022631901,0.036251874
0.6099999999999997,0.3900000000000003,0.0022631901,0.036251874
0.6089999999999997,0.3910000000000003,0.0046102135,0.0088162975
0.6079999999999997,0.3920000000000003,0.0046102135,0.0088162975
0.6069999999999997,0.3930000000000003,0.0046102135,0.0088162975
0.6059999999999997,0.3940000000000003,0.0046102135,0.0088162975
0.6049999999999996,0.3950000000000003,0.0046102135,0.0088162975
0.6039999999999996,0.3960000000000003,0.0046102135,0.0088162975
0.6029999999999996,0.3970000000000003,0.0046102135,0.0088162975
0.6019999999999996,0.3980000000000003,0.0046102135,0.0088162975
0.6009999999999996,0.3990000000000003,0.0046102135,0.0088162975
0.5999999999999996,0.4000000000000003,0.0046102135,0.0088162975
0.5989999999999996,0.4010000000000003,0.0046102135,0.0088162975
0.5979999999999996,0.4020000000000003,0.0046102135,0.0088162975
0.5969999999999996,0.4030000000000003,0.0022631901,0.036251874
0.5959999999999996,0.4040000000000003,0.0046102135,0.0088162975
0.5949999999999996,0.4050000000000003,0.0046102135,0.0088162975
0.5939999999999996,0.4060000000000003,0.0046102135,0.0088162975
0.5929999999999996,0.4070000000000003,0.0046102135,0.0088162975
0.5919999999999996,0.4080000000000003,0.0046102135,0.0088162975
0.5909999999999996,0.4090000000000003,0.0046102135,0.0088162975
0.5899999999999996,0.4100000000000003,0.0046102135,0.0088162975
0.5889999999999996,0.4110000000000003,0.0022631901,0.036251874
0.5879999999999996,0.4120000000000003,0.0046102135,0.0088162975
0.5869999999999996,0.4130000000000003,0.0046102135,0.0088162975
0.5859999999999996,0.4140000000000003,0.0046102135,0.0088162975
0.5849999999999996,0.4150000000000003,0.0046102135,0.0088162975
0.5839999999999996,0.4160000000000003,0.0046102135,0.0088162975
0.5829999999999996,0.4170000000000003,0.0022631901,0.036251874
0.5819999999999996,0.4180000000000003,0.0046102135,0.0088162975
0.5809999999999996,0.4190000000000003,0.0046102135,0.0088162975
0.5799999999999996,0.4200000000000003,0.0022631901,0.036251874
0.5789999999999996,0.4210000000000003,0.0046102135,0.0088162975
0.5779999999999996,0.4220000000000003,0.0046102135,0.0088162975
0.5769999999999996,0.4230000000000003,0.0046102135,0.0088162975
0.5759999999999996,0.4240000000000003,0.0046102135,0.0088162975
0.5749999999999996,0.4250000000000003,0.0046102135,0.0088162975
0.5739999999999996,0.4260000000000003,0.0046102135,0.0088162975
0.5729999999999996,0.4270000000000003,0.0046102135,0.0088162975
0.5719999999999996,0.4280000000000003,0.0046102135,0.0088162975
0.5709999999999996,0.4290000000000003,0.0046102135,0.0088162975
0.5699999999999996,0.4300000000000003,0.0046102135,0.0088162975
0.5689999999999996,0.4310000000000003,0.0046102135,0.0088162975
0.5679999999999996,0.43200000000000033,0.0022631901,0.036251874
0.5669999999999996,0.43300000000000033,0.0046102135,0.0088162975
0.5659999999999996,0.43400000000000033,0.0046102135,0.0088162975
