a-Al(650K),a-Fe-alpha(650K),a-Al(800K),a-Fe-alpha(800K)
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
