xFe;aFe;xAl;aAl
0.267;0.000300246;0.733;0.20412589
0.268;0.000300246;0.732;0.20412589
0.269;0.000300246;0.731;0.20412589
0.27;0.000315491;0.73;0.20042305
0.271;0.000379724;0.729;0.18711382
0.272;0.000454111;0.728;0.17504552
0.273;0.000539934;0.727;0.16405578
0.274;0.00063862;0.726;0.15400933
0.275;0.000751757;0.725;0.14479253
0.276;0.000881116;0.724;0.13630924
0.277;0.001028669;0.723;0.12847758
0.278;0.001196621;0.722;0.12122737
0.279;0.001387433;0.721;0.1144981
0.28;0.001603857;0.72;0.10823736
0.281;0.001848975;0.719;0.10239949
0.282;0.002126244;0.718;0.096944557
0.283;0.002439542;0.717;0.09183747
0.284;0.002793228;0.716;0.087047271
0.285;0.003192212;0.715;0.082546544
0.286;0.003642029;0.714;0.078310926
0.287;0.004148932;0.713;0.074318692
0.288;0.004719995;0.712;0.070550409
0.289;0.005363241;0.711;0.06698864
0.29;0.006087783;0.71;0.063617698
0.291;0.006904;0.709;0.060423427
0.292;0.007823735;0.708;0.057393025
0.293;0.008860535;0.707;0.054514886
0.294;0.010029942;0.706;0.051778458
0.295;0.011349826;0.705;0.049174135
0.296;0.012840805;0.704;0.046693145
0.297;0.014526728;0.703;0.044327469
0.298;0.016435283;0.702;0.042069757
0.299;0.017254336;0.701;0.041209339
0.30;0.017254336;0.70;0.041209339
0.301;0.017254336;0.699;0.041209339
0.302;0.017254336;0.698;0.041209339
0.303;0.017254336;0.697;0.041209339
0.304;0.017254336;0.696;0.041209339
0.305;0.017254336;0.695;0.041209339
0.306;0.017254336;0.694;0.041209339
0.307;0.017254336;0.693;0.041209339
0.308;0.017254336;0.692;0.041209339
0.309;0.017254336;0.691;0.041209339
0.31;0.017254336;0.69;0.041209339
0.311;0.017254336;0.689;0.041209339
0.312;0.017254336;0.688;0.041209339
0.313;0.017254336;0.687;0.041209339
0.314;0.017254336;0.686;0.041209339
0.315;0.017254336;0.685;0.041209339
0.316;0.017254336;0.684;0.041209339
0.317;0.017254336;0.683;0.041209339
0.318;0.017254336;0.682;0.041209339
0.319;0.017254336;0.681;0.041209339
0.32;0.017254336;0.68;0.041209339
0.321;0.017254336;0.679;0.041209339
0.322;0.017254336;0.678;0.041209339
0.323;0.017254336;0.677;0.041209339
0.324;0.017254336;0.676;0.041209339
0.325;0.017254336;0.675;0.041209339
0.326;0.017254336;0.674;0.041209339
0.327;0.017254336;0.673;0.041209339
0.328;0.017254336;0.672;0.041209339
0.329;0.017254336;0.671;0.041209339
0.33;0.017254336;0.67;0.041209339
0.331;0.017254336;0.669;0.041209339
0.332;0.017254336;0.668;0.041209339
0.333;0.017254336;0.667;0.041209339
0.334;0.017254336;0.666;0.041209339
0.335;0.022016108;0.665;0.036456499
0.336;0.027616884;0.664;0.031521367
0.337;0.027616884;0.663;0.027590493
0.338;0.027616884;0.662;0.024502175
0.339;0.027616884;0.661;0.032516333
0.34;0.027616884;0.66;0.032516333
0.341;0.027616884;0.659;0.032516333
0.342;0.027616884;0.658;0.032516333
0.343;0.027616884;0.657;0.032516333
0.344;0.027616884;0.656;0.032516333
0.345;0.027616884;0.655;0.032516333
0.346;0.027616884;0.654;0.032516333
0.347;0.027616884;0.653;0.032516333
0.348;0.027616884;0.652;0.032516333
0.349;0.027616884;0.651;0.032516333
0.35;0.027616884;0.65;0.032516333
0.351;0.027616884;0.649;0.032516333
0.352;0.027616884;0.648;0.032516333
0.353;0.027616884;0.647;0.032516333
0.354;0.027616884;0.646;0.032516333
0.355;0.027616884;0.645;0.032516333
0.356;0.027616884;0.644;0.032516333
0.357;0.027616884;0.643;0.032516333
0.358;0.027616884;0.642;0.032516333
0.359;0.027616884;0.641;0.032516333
0.36;0.027616884;0.64;0.032516333
0.361;0.027616884;0.639;0.032516333
0.362;0.027616884;0.638;0.032516333
0.363;0.027616884;0.637;0.032516333
0.364;0.027616884;0.636;0.032516333
0.365;0.027616884;0.635;0.032516333
0.366;0.027616884;0.634;0.032516333
0.367;0.027616884;0.633;0.032516333
0.368;0.027616884;0.632;0.032516333
0.369;0.027616884;0.631;0.032516333
0.37;0.027616884;0.63;0.032516333
0.371;0.027616884;0.629;0.032516333
0.372;0.027616884;0.628;0.032516333
0.373;0.027616884;0.627;0.032516333
0.374;0.027616884;0.626;0.032516333
0.375;0.027616884;0.625;0.032516333
0.376;0.027616884;0.624;0.032516333
0.377;0.027616884;0.623;0.032516333
0.378;0.027616884;0.622;0.032516333
0.379;0.027616884;0.621;0.032516333
0.38;0.027616884;0.62;0.032516333
0.381;0.027616884;0.619;0.032516333
0.382;0.027616884;0.618;0.032516333
0.383;0.027616884;0.617;0.032516333
0.384;0.027616884;0.616;0.032516333
0.385;0.027616884;0.615;0.032516333
0.386;0.027616884;0.614;0.032516333
0.387;0.027616884;0.613;0.032516333
0.388;0.027616884;0.612;0.032516333
0.389;0.027616884;0.611;0.032516333
0.39;0.027616884;0.61;0.032516333
0.391;0.027616884;0.609;0.032516333
0.392;0.027616884;0.608;0.032516333
0.393;0.027616884;0.607;0.032516333
0.394;0.027616884;0.606;0.032516333
0.395;0.027616884;0.605;0.032516333
0.396;0.027616884;0.604;0.032516333
0.397;0.027616884;0.603;0.032516333
0.398;0.027616884;0.602;0.032516333
0.399;0.027616884;0.601;0.032516333
0.40;0.027616884;0.60;0.032516333
0.401;0.027616884;0.599;0.032516333
0.402;0.027616884;0.598;0.032516333
0.403;0.027616884;0.597;0.032516333
0.404;0.027616884;0.596;0.032516333
0.405;0.027616884;0.595;0.032516333
0.406;0.027616884;0.594;0.032516333
0.407;0.027616884;0.593;0.032516333
0.408;0.027616884;0.592;0.032516333
0.409;0.027616884;0.591;0.032516333
0.41;0.027616884;0.59;0.032516333
0.411;0.027616884;0.589;0.032516333
0.412;0.027616884;0.588;0.032516333
0.413;0.027616884;0.587;0.032516333
0.414;0.027616884;0.586;0.032516333
0.415;0.027616884;0.585;0.032516333
0.416;0.027616884;0.584;0.032516333
0.417;0.027616884;0.583;0.032516333
0.418;0.027616884;0.582;0.032516333
0.419;0.027616884;0.581;0.032516333
0.42;0.027616884;0.58;0.032516333
0.421;0.027616884;0.579;0.032516333
0.422;0.027616884;0.578;0.032516333
0.423;0.027616884;0.577;0.032516333
0.424;0.027616884;0.576;0.032516333
0.425;0.027616884;0.575;0.032516333
0.426;0.027616884;0.574;0.032516333
0.427;0.027616884;0.573;0.032516333
0.428;0.027616884;0.572;0.032516333
0.429;0.027616884;0.571;0.032516333
0.43;0.027616884;0.57;0.032516333
0.431;0.027616884;0.569;0.032516333
0.432;0.027616884;0.568;0.032516333
0.433;0.027616884;0.567;0.032516333
0.434;0.027616884;0.566;0.032516333
0.435;0.027616884;0.565;0.032516333
0.436;0.027616884;0.564;0.032516333
0.437;0.027616884;0.563;0.032516333
0.438;0.027616884;0.562;0.032516333
0.439;0.027616884;0.561;0.032516333
0.44;0.027616884;0.56;0.032516333
0.441;0.027616884;0.559;0.032516333
0.442;0.027616884;0.558;0.032516333
0.443;0.027616884;0.557;0.032516333
0.444;0.027616884;0.556;0.032516333
0.445;0.027616884;0.555;0.032516333
0.446;0.027616884;0.554;0.032516333
0.447;0.027616884;0.553;0.032516333
0.448;0.027616884;0.552;0.032516333
0.449;0.027616884;0.551;0.032516333
0.45;0.027616884;0.55;0.032516333
0.451;0.027616884;0.549;0.032516333
0.452;0.027616884;0.548;0.032516333
0.453;0.027616884;0.547;0.032516333
0.454;0.027616884;0.546;0.032516333
0.455;0.027616884;0.545;0.032516333
0.456;0.027616884;0.544;0.032516333
0.457;0.027616884;0.543;0.032516333
0.458;0.027616884;0.542;0.032516333
0.459;0.027616884;0.541;0.032516333
0.46;0.027616884;0.54;0.032516333
0.461;0.027616884;0.539;0.032516333
0.462;0.027616884;0.538;0.032516333
0.463;0.027616884;0.537;0.032516333
0.464;0.027616884;0.536;0.032516333
0.465;0.027616884;0.535;0.032516333
0.466;0.027616884;0.534;0.032516333
0.467;0.027616884;0.533;0.032516333
0.468;0.027616884;0.532;0.032516333
0.469;0.027616884;0.531;0.032516333
0.47;0.027616884;0.53;0.032516333
0.471;0.027616884;0.529;0.032516333
0.472;0.027616884;0.528;0.032516333
0.473;0.027616884;0.527;0.032516333
0.474;0.027616884;0.526;0.032516333
0.475;0.027616884;0.525;0.032516333
0.476;0.027616884;0.524;0.032516333
0.477;0.027616884;0.523;0.032516333
0.478;0.027616884;0.522;0.032516333
0.479;0.027616884;0.521;0.032516333
0.48;0.027616884;0.52;0.032516333
0.481;0.027616884;0.519;0.032516333
0.482;0.027616884;0.518;0.032516333
0.483;0.027616884;0.517;0.032516333
0.484;0.027616884;0.516;0.032516333
0.485;0.027616884;0.515;0.032516333
0.486;0.027616884;0.514;0.032516333
0.487;0.027616884;0.513;0.032516333
0.488;0.027616884;0.512;0.032516333
0.489;0.027616884;0.511;0.032516333
0.49;0.027616884;0.51;0.032516333
0.491;0.027616884;0.509;0.032516333
0.492;0.027616884;0.508;0.032516333
0.493;0.027616884;0.507;0.032516333
0.494;0.027616884;0.506;0.032516333
0.495;0.027616884;0.505;0.032516333
0.496;0.027616884;0.504;0.032516333
0.497;0.027616884;0.503;0.032516333
0.498;0.027616884;0.502;0.032516333
0.499;0.027616884;0.501;0.032516333
0.50;0.027616884;0.50;0.032516333
0.501;0.027616884;0.499;0.032516333
0.502;0.027616884;0.498;0.032516333
0.503;0.027616884;0.497;0.032516333
0.504;0.027616884;0.496;0.032516333
0.505;0.027616884;0.495;0.032516333
0.506;0.027616884;0.494;0.032516333
0.507;0.027616884;0.493;0.032516333
0.508;0.027616884;0.492;0.032516333
0.509;0.027616884;0.491;0.032516333
0.51;0.027616884;0.49;0.032516333
0.511;0.027616884;0.489;0.032516333
0.512;0.027616884;0.488;0.032516333
0.513;0.027616884;0.487;0.032516333
0.514;0.027616884;0.486;0.032516333
0.515;0.027616884;0.485;0.032516333
0.516;0.027616884;0.484;0.032516333
0.517;0.027616884;0.483;0.032516333
0.518;0.027616884;0.482;0.032065034
0.519;0.027916105;0.481;0.031549471
0.52;0.02834608;0.48;0.031043599
0.521;0.028782521;0.479;0.030547265
0.522;0.029225427;0.478;0.030060314
0.523;0.029674798;0.477;0.029582593
0.524;0.030130635;0.476;0.029113952
0.525;0.030592938;0.475;0.028654239
0.526;0.031061705;0.474;0.028203306
0.527;0.031536938;0.473;0.027761006
