;;900°C;;650°C;
XAl;XFe;Fe;Al;Fe;Al
0.804;0.196;0.000200;0.928828;0.000010;0.999781
0.803;0.197;0.000200;0.928828;0.000010;0.999781
0.802;0.198;0.000200;0.928828;0.000010;0.999781
0.801;0.199;0.000200;0.928828;0.000010;0.999781
0.8;0.2;0.000200;0.928828;0.000010;0.999781
0.799;0.201;0.000200;0.928828;0.000010;0.999781
0.798;0.202;0.000200;0.928828;0.000010;0.999781
0.797;0.203;0.000200;0.928828;0.000010;0.999781
0.796;0.204;0.000200;0.928828;0.000010;0.999781
0.795;0.205;0.000200;0.928828;0.000010;0.999781
0.794;0.206;0.000200;0.928828;0.000010;0.999781
0.793;0.207;0.000200;0.928828;0.000010;0.999781
0.792;0.208;0.000200;0.928828;0.000010;0.999781
0.791;0.209;0.000200;0.928828;0.000010;0.999781
0.79;0.21;0.000200;0.928828;0.000010;0.999781
0.789;0.211;0.000200;0.928828;0.000010;0.999781
0.788;0.212;0.000200;0.928828;0.000010;0.999781
0.787;0.213;0.000200;0.928828;0.000010;0.999781
0.786;0.214;0.000200;0.928828;0.000010;0.999781
0.785;0.215;0.000200;0.928828;0.000010;0.999781
0.784;0.216;0.000200;0.928828;0.000010;0.999781
0.783;0.217;0.000200;0.928828;0.000010;0.999781
0.782;0.218;0.000200;0.928828;0.000010;0.999781
0.781;0.219;0.000200;0.928828;0.000010;0.999781
0.78;0.22;0.000200;0.928828;0.000010;0.999781
0.779;0.221;0.000200;0.928828;0.000010;0.999781
0.778;0.222;0.000200;0.928828;0.000010;0.999781
0.777;0.223;0.000200;0.928828;0.000010;0.999781
0.776;0.224;0.000200;0.928828;0.000010;0.999781
0.775;0.225;0.000200;0.928828;0.000010;0.999781
0.774;0.226;0.000200;0.928828;0.000010;0.999781
0.773;0.227;0.000200;0.928828;0.000010;0.999781
0.772;0.228;0.000200;0.928828;0.000010;0.999781
0.771;0.229;0.000200;0.928828;0.000010;0.999781
0.77;0.23;0.000200;0.928828;0.000010;0.999781
0.769;0.231;0.000200;0.928828;0.000010;0.999781
0.768;0.232;0.000200;0.928828;0.000010;0.999781
0.767;0.233;0.000200;0.928828;0.000010;0.999781
0.766;0.234;0.000200;0.928828;0.000010;0.999781
0.765;0.235;0.000200;0.928828;0.000010;0.999781
0.764;0.236;0.000200;0.928828;0.000010;0.999781
0.763;0.237;0.000200;0.928828;0.000010;0.999781
0.762;0.238;0.000200;0.928828;0.000010;0.999781
0.761;0.239;0.000200;0.928828;0.000010;0.733215
0.76;0.24;0.000200;0.928828;0.000013;0.560287
0.759;0.241;0.000200;0.928828;0.000026;0.447973
0.758;0.242;0.000309;0.808415;0.000048;0.369156
0.757;0.243;0.000529;0.680611;0.000082;0.310795
0.756;0.244;0.000860;0.582167;0.000133;0.265842
0.755;0.245;0.001342;0.504009;0.000208;0.230152
0.754;0.246;0.002031;0.440452;0.000300;0.204126
0.753;0.247;0.002999;0.387754;0.000300;0.204126
0.752;0.248;0.003703;0.361768;0.000300;0.204126
0.751;0.249;0.003703;0.361768;0.000300;0.204126
0.75;0.25;0.003703;0.361768;0.000300;0.204126
0.749;0.251;0.003703;0.361768;0.000300;0.204126
0.748;0.252;0.003703;0.361768;0.000300;0.204126
0.747;0.253;0.003703;0.361768;0.000300;0.204126
0.746;0.254;0.003703;0.361768;0.000300;0.204126
0.745;0.255;0.003703;0.361768;0.000300;0.204126
0.744;0.256;0.003703;0.361768;0.000300;0.204126
0.743;0.257;0.003703;0.361768;0.000300;0.204126
0.742;0.258;0.003703;0.361768;0.000300;0.204126
0.741;0.259;0.003703;0.361768;0.000300;0.204126
0.74;0.26;0.003703;0.361768;0.000300;0.204126
0.739;0.261;0.003703;0.361768;0.000300;0.204126
0.738;0.262;0.003703;0.361768;0.000300;0.204126
0.737;0.263;0.003703;0.361768;0.000300;0.204126
0.736;0.264;0.003703;0.361768;0.000300;0.204126
0.735;0.265;0.003703;0.361768;0.000300;0.204126
0.734;0.266;0.003703;0.361768;0.000300;0.204126
0.733;0.267;0.003703;0.361768;0.000300;0.204126
0.732;0.268;0.003703;0.361768;0.000300;0.204126
0.731;0.269;0.003703;0.361768;0.000300;0.204126
0.73;0.27;0.003703;0.361768;0.000315;0.200423
0.729;0.271;0.003703;0.361768;0.000380;0.187114
0.728;0.272;0.003703;0.361768;0.000454;0.175046
0.727;0.273;0.003703;0.361768;0.000540;0.164056
0.726;0.274;0.003703;0.361768;0.000639;0.154009
0.725;0.275;0.003703;0.361768;0.000752;0.144793
0.724;0.276;0.003703;0.361768;0.000881;0.136309
0.723;0.277;0.003703;0.361768;0.001029;0.128478
0.722;0.278;0.003703;0.361768;0.001197;0.121227
0.721;0.279;0.003703;0.361768;0.001387;0.114498
0.72;0.28;0.003744;0.360232;0.001604;0.108237
0.719;0.281;0.004203;0.344343;0.001849;0.102399
0.718;0.282;0.004709;0.329362;0.002126;0.096945
0.717;0.283;0.005265;0.315207;0.002440;0.091837
0.716;0.284;0.005876;0.301804;0.002793;0.087047
0.715;0.285;0.006548;0.289089;0.003192;0.082547
0.714;0.286;0.007286;0.277005;0.003642;0.078311
0.713;0.287;0.008098;0.265500;0.004149;0.074319
0.712;0.288;0.008990;0.254530;0.004720;0.070550
0.711;0.289;0.009973;0.244053;0.005363;0.066989
0.71;0.29;0.011053;0.234031;0.006088;0.063618
0.709;0.291;0.012244;0.224433;0.006904;0.060423
0.708;0.292;0.013556;0.215227;0.007824;0.057393
0.707;0.293;0.015003;0.206386;0.008861;0.054515
0.706;0.294;0.016602;0.197885;0.010030;0.051778
0.705;0.295;0.018370;0.189702;0.011350;0.049174
0.704;0.296;0.020326;0.181816;0.012841;0.046693
0.703;0.297;0.022496;0.174209;0.014527;0.044327
0.702;0.298;0.024905;0.166862;0.016435;0.042070
0.701;0.299;0.027586;0.159760;0.017254;0.041209
0.7;0.3;0.030573;0.152888;0.017254;0.041209
0.699;0.301;0.033910;0.146233;0.017254;0.041209
0.698;0.302;0.034234;0.145637;0.017254;0.041209
0.697;0.303;0.034234;0.145637;0.017254;0.041209
0.696;0.304;0.034234;0.145637;0.017254;0.041209
0.695;0.305;0.034234;0.145637;0.017254;0.041209
0.694;0.306;0.034234;0.145637;0.017254;0.041209
0.693;0.307;0.034234;0.145637;0.017254;0.041209
0.692;0.308;0.034234;0.145637;0.017254;0.041209
0.691;0.309;0.034234;0.145637;0.017254;0.041209
0.69;0.31;0.034234;0.145637;0.017254;0.041209
0.689;0.311;0.034234;0.145637;0.017254;0.041209
0.688;0.312;0.034234;0.145637;0.017254;0.041209
0.687;0.313;0.034234;0.145637;0.017254;0.041209
0.686;0.314;0.034234;0.145637;0.017254;0.041209
0.685;0.315;0.034234;0.145637;0.017254;0.041209
0.684;0.316;0.034234;0.145637;0.017254;0.041209
0.683;0.317;0.034234;0.145637;0.017254;0.041209
0.682;0.318;0.034234;0.145637;0.017254;0.041209
0.681;0.319;0.034234;0.145637;0.017254;0.041209
0.68;0.32;0.034234;0.145637;0.017254;0.041209
0.679;0.321;0.034234;0.145637;0.017254;0.041209
0.678;0.322;0.034234;0.145637;0.017254;0.041209
0.677;0.323;0.034234;0.145637;0.017254;0.041209
0.676;0.324;0.034234;0.145637;0.017254;0.041209
0.675;0.325;0.034234;0.145637;0.017254;0.041209
0.674;0.326;0.034234;0.145637;0.017254;0.041209
0.673;0.327;0.034234;0.145637;0.017254;0.041209
0.672;0.328;0.034234;0.145637;0.017254;0.041209
0.671;0.329;0.034234;0.145637;0.017254;0.041209
0.67;0.33;0.034234;0.145637;0.017254;0.041209
0.669;0.331;0.034234;0.145637;0.017254;0.041209
0.668;0.332;0.034234;0.145637;0.017254;0.041209
0.667;0.333;0.034234;0.145637;0.017254;0.041209
0.666;0.334;0.034234;0.145637;0.017254;0.041209
0.665;0.335;0.035405;0.143190;0.022016;0.036456
0.664;0.336;0.040841;0.133228;0.027617;0.031521
0.663;0.337;0.047265;0.123714;0.027617;0.027590
0.662;0.338;0.053000;0.121682;0.027617;0.024502
0.661;0.339;0.053000;0.121682;0.027617;0.032516
