a-Al(650K),a-Fe(650K),a-Al(700K),a-Fe(700K),a-Al(750K),a-Fe(750K),a-Al(800K),a-Fe(800K)
1.3202716865782839e-10,2.53025959998796e-09,1.7925884355341174e-10,1.9101606598999457e-08,2.33662436032713e-10,1.1013382842961675e-07,2.946515100346969e-10,5.101116253096129e-07
1.5364751767199948e-10,2.53025959998796e-09,2.0684015759407787e-10,1.9101606598999457e-08,2.676267972933056e-10,1.1013382842961675e-07,3.353030405634976e-10,5.101116253096129e-07
1.6999404462352927e-10,2.53025959998796e-09,2.2904563910121366e-10,1.9101606598999457e-08,2.9658230660194745e-10,1.1013382842961675e-07,3.718266793684155e-10,5.101116253096129e-07
1.9783172843099203e-10,2.53025959998796e-09,2.616976456522577e-10,1.9101606598999457e-08,3.335056299508873e-10,1.1013382842961675e-07,4.123287377823841e-10,5.101116253096129e-07
2.1887900423253437e-10,2.53025959998796e-09,2.8979239426677326e-10,1.9101606598999457e-08,3.6958880798161456e-10,1.1013382842961675e-07,4.572425741208296e-10,5.101116253096129e-07
2.421654952609746e-10,2.53025959998796e-09,3.2090327586080246e-10,1.9101606598999457e-08,4.0957595530062325e-10,1.1013382842961675e-07,5.070487512296158e-10,5.101116253096129e-07
2.74787809294099e-10,2.53025959998796e-09,3.6095796397293367e-10,1.9101606598999457e-08,4.5721580988976003e-10,1.1013382842961675e-07,5.622801783448396e-10,5.101116253096129e-07
3.04022426283921e-10,2.53025959998796e-09,3.9970887910994734e-10,1.9101606598999457e-08,5.066836388710722e-10,1.1013382842961675e-07,6.235278130412593e-10,5.101116253096129e-07
3.3636730800032283e-10,2.53025959998796e-09,4.382828546608155e-10,1.9101606598999457e-08,5.512768519428157e-10,1.1013382842961675e-07,6.738032830187477e-10,5.101116253096129e-07
3.8167962609187355e-10,2.53025959998796e-09,4.881580751966705e-10,1.9101606598999457e-08,6.04190340484693e-10,1.1013382842961675e-07,7.281324981998846e-10,5.101116253096129e-07
4.2228644089300605e-10,2.53025959998796e-09,5.405646544481314e-10,1.9101606598999457e-08,6.69559874496354e-10,1.1013382842961675e-07,8.07445970340439e-10,5.101116253096129e-07
4.672134061438159e-10,2.53025959998796e-09,5.985973816389361e-10,1.9101606598999457e-08,7.42001974371076e-10,1.1013382842961675e-07,8.953988410499933e-10,5.101116253096129e-07
5.169201417381373e-10,2.53025959998796e-09,6.628602561349516e-10,1.9101606598999457e-08,8.222818465409299e-10,1.1013382842961675e-07,9.929321762738328e-10,5.101116253096129e-07
5.57640841502082e-10,2.53025959998796e-09,7.085342920913761e-10,1.9101606598999457e-08,8.719662348674639e-10,1.1013382842961675e-07,1.0456133333315675e-09,5.101116253096129e-07
6.169681328439901e-10,2.53025959998796e-09,7.84599526730595e-10,1.9101606598999457e-08,9.663074095401012e-10,1.1013382842961675e-07,1.1595091204142867e-09,5.101116253096129e-07
6.826072421805881e-10,2.53025959998796e-09,8.68830802146254e-10,1.9101606598999457e-08,1.07085569646402e-09,1.1013382842961675e-07,1.2858112626013918e-09,5.101116253096129e-07
7.552296824951433e-10,2.53025959998796e-09,9.433425275581844e-10,1.9101606598999457e-08,1.1438815671064124e-09,1.1013382842961675e-07,1.3540314559744255e-09,5.101116253096129e-07
8.35578408895374e-10,2.53025959998796e-09,1.0446157778508027e-09,1.9101606598999457e-08,1.267642243164712e-09,1.1013382842961675e-07,1.501522381631998e-09,5.101116253096129e-07
9.244754193259816e-10,2.53025959998796e-09,1.1454266068836595e-09,1.9101606598999457e-08,1.3792074019966275e-09,1.1013382842961675e-07,1.6225911484766803e-09,5.101116253096129e-07
