a-Al(650K),a-Fe(650K),a-Al(700K),a-Fe(700K),a-Al(750K),a-Fe(750K),a-Al(800K),a-Fe(800K)
1.2426581954905598e-06,2.53025959998796e-09,1.4134508984108864e-06,1.9101606598999457e-08,1.5803473735362144e-06,1.1013382842961675e-07,1.7424704135240684e-06,5.101116253096129e-07
1.27446739155483e-06,2.53025959998796e-09,1.4499483032481102e-06,1.9101606598999457e-08,1.6214608584181566e-06,1.1013382842961675e-07,1.7880974209974184e-06,5.101116253096129e-07
1.3070908299891475e-06,2.53025959998796e-09,1.4873881253715355e-06,1.9101606598999457e-08,1.6636439300678263e-06,1.1013382842961675e-07,1.8349191826512785e-06,5.101116253096129e-07
1.3748643384331972e-06,2.53025959998796e-09,1.5651929882980163e-06,1.9101606598999457e-08,1.751330860795773e-06,1.1013382842961675e-07,1.9322729274077954e-06,5.101116253096129e-07
1.4461519473065595e-06,2.53025959998796e-09,1.630928777534409e-06,1.9101606598999457e-08,1.810061186433793e-06,1.1013382842961675e-07,1.9828699594234378e-06,5.101116253096129e-07
1.5211358649987778e-06,2.53025959998796e-09,1.6994253726387288e-06,1.9101606598999457e-08,1.8707610149377504e-06,1.1013382842961675e-07,2.034791886909321e-06,5.101116253096129e-07
1.5211358649987778e-06,2.53025959998796e-09,1.7332254649748149e-06,1.9101606598999457e-08,1.940813668777483e-06,1.1013382842961675e-07,2.1427501075567226e-06,5.101116253096129e-07
1.6000077475227345e-06,2.53025959998796e-09,1.806018369566488e-06,1.9101606598999457e-08,2.0058982403576483e-06,1.1013382842961675e-07,2.1988585352305533e-06,5.101116253096129e-07
1.6829691883800445e-06,2.53025959998796e-09,1.881868468427441e-06,1.9101606598999457e-08,2.073165402428555e-06,1.1013382842961675e-07,2.256436175597425e-06,5.101116253096129e-07
1.7702322338263142e-06,2.53025959998796e-09,1.9803084893837e-06,1.9101606598999457e-08,2.1824372891254457e-06,1.1013382842961675e-07,2.376153988553685e-06,5.101116253096129e-07
1.7702322338263142e-06,2.53025959998796e-09,1.999904837133684e-06,1.9101606598999457e-08,2.222923612100272e-06,1.1013382842961675e-07,2.4383741530695926e-06,5.101116253096129e-07
1.8620199248532315e-06,2.53025959998796e-09,2.083897880706938e-06,1.9101606598999457e-08,2.297468651264239e-06,1.1013382842961675e-07,2.502223567579833e-06,5.101116253096129e-07
1.958566867272739e-06,2.53025959998796e-09,2.192906004541923e-06,1.9101606598999457e-08,2.418563057844877e-06,1.1013382842961675e-07,2.6349819129201105e-06,5.101116253096129e-07
2.008701681264344e-06,2.53025959998796e-09,2.249530099731741e-06,1.9101606598999457e-08,2.481483120471516e-06,1.1013382842961675e-07,2.7039795489774064e-06,5.101116253096129e-07
2.0601198313605155e-06,2.53025959998796e-09,2.3076163132929907e-06,1.9101606598999457e-08,2.546040078306692e-06,1.1013382842961675e-07,2.774783904753788e-06,5.101116253096129e-07
2.1669383825912816e-06,2.53025959998796e-09,2.428327086681627e-06,1.9101606598999457e-08,2.6802361258755727e-06,1.1013382842961675e-07,2.922003251835648e-06,5.101116253096129e-07
2.222407028853924e-06,2.53025959998796e-09,2.466621396930883e-06,1.9101606598999457e-08,2.6998783814112074e-06,1.1013382842961675e-07,2.922003251835648e-06,5.101116253096129e-07
2.279295545078226e-06,2.53025959998796e-09,2.555352207359345e-06,1.9101606598999457e-08,2.821505345362117e-06,1.1013382842961675e-07,3.0770334904676906e-06,5.101116253096129e-07
2.397478499412112e-06,2.53025959998796e-09,2.689021977092665e-06,1.9101606598999457e-08,2.9702205477535502e-06,1.1013382842961675e-07,3.24028903647241e-06,5.101116253096129e-07
2.458848443234489e-06,2.53025959998796e-09,2.7314274019724573e-06,1.9101606598999457e-08,2.991987969822421e-06,1.1013382842961675e-07,3.24028903647241e-06,5.101116253096129e-07
2.521789316683841e-06,2.53025959998796e-09,2.8296839756424565e-06,1.9101606598999457e-08,3.126774194065944e-06,1.1013382842961675e-07,3.412206292979743e-06,5.101116253096129e-07
2.652545730566569e-06,2.53025959998796e-09,2.948526515073136e-06,1.9101606598999457e-08,3.231629576178379e-06,1.1013382842961675e-07,3.501555736632864e-06,5.101116253096129e-07
2.7204448097495886e-06,2.53025959998796e-09,3.0246618559009697e-06,1.9101606598999457e-08,3.315701949094062e-06,1.1013382842961675e-07,3.593244816988943e-06,5.101116253096129e-07
2.790081949430778e-06,2.53025959998796e-09,3.133466838327573e-06,1.9101606598999457e-08,3.4650711815050472e-06,1.1013382842961675e-07,3.783888547823661e-06,5.101116253096129e-07
2.934749510567984e-06,2.53025959998796e-09,3.2330745840496867e-06,1.9101606598999457e-08,3.516045205979558e-06,1.1013382842961675e-07,3.783888547823661e-06,5.101116253096129e-07
3.009872358443563e-06,2.53025959998796e-09,3.34937671634098e-06,1.9101606598999457e-08,3.674439712362434e-06,1.1013382842961675e-07,3.984647100764221e-06,5.101116253096129e-07
3.086918178706602e-06,2.53025959998796e-09,3.435862605667672e-06,1.9101606598999457e-08,3.770032000547662e-06,1.1013382842961675e-07,4.088986044848519e-06,5.101116253096129e-07
3.246976891116358e-06,2.53025959998796e-09,3.580163750497723e-06,1.9101606598999457e-08,3.896458829432125e-06,1.1013382842961675e-07,4.196057129314969e-06,5.101116253096129e-07
3.3300920429098902e-06,2.53025959998796e-09,3.708951586135387e-06,1.9101606598999457e-08,4.071990609250968e-06,1.1013382842961675e-07,4.418683759748285e-06,5.101116253096129e-07
3.415334751717013e-06,2.53025959998796e-09,3.7674411296231343e-06,1.9101606598999457e-08,4.101832412856799e-06,1.1013382842961675e-07,4.418683759748285e-06,5.101116253096129e-07
3.592422076732276e-06,2.53025959998796e-09,3.9645149368385125e-06,1.9101606598999457e-08,4.318030776066148e-06,1.1013382842961675e-07,4.653122101760041e-06,5.101116253096129e-07
3.592422076732276e-06,2.53025959998796e-09,4.003746204986271e-06,1.9101606598999457e-08,4.398134424169186e-06,1.1013382842961675e-07,4.77496522475576e-06,5.101116253096129e-07
3.7786914945615e-06,2.53025959998796e-09,4.171897620597438e-06,1.9101606598999457e-08,4.545624468862317e-06,1.1013382842961675e-07,4.8999988392745134e-06,5.101116253096129e-07
3.97461910268056e-06,2.53025959998796e-09,4.39012843539087e-06,1.9101606598999457e-08,4.785214113444597e-06,1.1013382842961675e-07,5.159973905651403e-06,5.101116253096129e-07
3.97461910268056e-06,2.53025959998796e-09,4.39012843539087e-06,1.9101606598999457e-08,4.785214113444597e-06,1.1013382842961675e-07,5.159973905651403e-06,5.101116253096129e-07
4.180705684528616e-06,2.53025959998796e-09,4.619774843963555e-06,1.9101606598999457e-08,5.037431989457844e-06,1.1013382842961675e-07,5.433742247772757e-06,5.101116253096129e-07
4.2877221491435545e-06,2.53025959998796e-09,4.739064302781358e-06,1.9101606598999457e-08,5.168483166819542e-06,1.1013382842961675e-07,5.57602609731367e-06,5.101116253096129e-07
4.397477989491415e-06,2.53025959998796e-09,4.8614339928800505e-06,1.9101606598999457e-08,5.302943702585259e-06,1.1013382842961675e-07,5.722035683725629e-06,5.101116253096129e-07
4.625490079252455e-06,2.53025959998796e-09,5.115734265277132e-06,1.9101606598999457e-08,5.5824499410889934e-06,1.1013382842961675e-07,6.025624859046281e-06,5.101116253096129e-07
4.625490079252455e-06,2.53025959998796e-09,5.115734265277132e-06,1.9101606598999457e-08,5.5824499410889934e-06,1.1013382842961675e-07,6.025624859046281e-06,5.101116253096129e-07
4.865324743953366e-06,2.53025959998796e-09,5.38333691484028e-06,1.9101606598999457e-08,5.876688324933884e-06,1.1013382842961675e-07,6.345321306754965e-06,5.101116253096129e-07
4.989865884275274e-06,2.53025959998796e-09,5.468231233700307e-06,1.9101606598999457e-08,5.919755953441399e-06,1.1013382842961675e-07,6.345321306754965e-06,5.101116253096129e-07
5.117594991783124e-06,2.53025959998796e-09,5.664937785253038e-06,1.9101606598999457e-08,6.186435352374568e-06,1.1013382842961675e-07,6.681979616688474e-06,5.101116253096129e-07
5.382945615803439e-06,2.53025959998796e-09,5.902856788898475e-06,1.9101606598999457e-08,6.393895502205084e-06,1.1013382842961675e-07,6.856948862387638e-06,5.101116253096129e-07
5.382945615803439e-06,2.53025959998796e-09,5.961269119590248e-06,1.9101606598999457e-08,6.512508449142644e-06,1.1013382842961675e-07,7.036499719928909e-06,5.101116253096129e-07
5.662054842015002e-06,2.53025959998796e-09,6.273101464360183e-06,1.9101606598999457e-08,6.855768125641964e-06,1.1013382842961675e-07,7.409829294435556e-06,5.101116253096129e-07
5.955636062877193e-06,2.53025959998796e-09,6.472513019608858e-06,1.9101606598999457e-08,6.956622068872156e-06,1.1013382842961675e-07,7.409829294435556e-06,5.101116253096129e-07
5.955636062877193e-06,2.53025959998796e-09,6.601245673146676e-06,1.9101606598999457e-08,7.21712024784492e-06,1.1013382842961675e-07,7.80296629831034e-06,5.101116253096129e-07
6.264439660711664e-06,2.53025959998796e-09,6.811088391894254e-06,1.9101606598999457e-08,7.323289975645256e-06,1.1013382842961675e-07,7.80296629831034e-06,5.101116253096129e-07
6.264439660711664e-06,2.53025959998796e-09,6.946555015060983e-06,1.9101606598999457e-08,7.597518427882302e-06,1.1013382842961675e-07,8.216961637468435e-06,5.101116253096129e-07
6.58925492565083e-06,2.53025959998796e-09,7.23830004573966e-06,1.9101606598999457e-08,7.852298801653388e-06,1.1013382842961675e-07,8.432124757100838e-06,5.101116253096129e-07
6.757924719652195e-06,2.53025959998796e-09,7.425203720568199e-06,1.9101606598999457e-08,8.056580071376961e-06,1.1013382842961675e-07,8.652921974845473e-06,5.101116253096129e-07
6.930912073033081e-06,2.53025959998796e-09,7.616933526317459e-06,1.9101606598999457e-08,8.266175815016275e-06,1.1013382842961675e-07,8.87950082091845e-06,5.101116253096129e-07
7.290284365401296e-06,2.53025959998796e-09,7.936833462400168e-06,1.9101606598999457e-08,8.543379402450584e-06,1.1013382842961675e-07,9.112012688650124e-06,5.101116253096129e-07
7.290284365401296e-06,2.53025959998796e-09,8.015373219916083e-06,1.9101606598999457e-08,8.701867355120554e-06,1.1013382842961675e-07,9.35061293564165e-06,5.101116253096129e-07
7.668290344528354e-06,2.53025959998796e-09,8.352007033493522e-06,1.9101606598999457e-08,8.993681720335839e-06,1.1013382842961675e-07,9.595460987570442e-06,5.101116253096129e-07
7.86458096726921e-06,2.53025959998796e-09,8.652450528270706e-06,1.9101606598999457e-08,9.398838563665011e-06,1.1013382842961675e-07,1.0104559191261e-05,5.101116253096129e-07
8.065896179174634e-06,2.53025959998796e-09,8.788898219672428e-06,1.9101606598999457e-08,9.46771846085891e-06,1.1013382842961675e-07,1.0104559191261e-05,5.101116253096129e-07
8.272364598188383e-06,2.53025959998796e-09,9.10505783086168e-06,1.9101606598999457e-08,9.89423021037494e-06,1.1013382842961675e-07,1.0640668184879891e-05,5.101116253096129e-07
8.484118134578175e-06,2.53025959998796e-09,9.24864306339677e-06,1.9101606598999457e-08,9.966740612068408e-06,1.1013382842961675e-07,1.0640668184879891e-05,5.101116253096129e-07
8.92402516998974e-06,2.53025959998796e-09,9.732437033194538e-06,1.9101606598999457e-08,1.0492065098780108e-05,1.1013382842961675e-07,1.1205221056910404e-05,5.101116253096129e-07
8.92402516998974e-06,2.53025959998796e-09,9.732437033194538e-06,1.9101606598999457e-08,1.0492065098780108e-05,1.1013382842961675e-07,1.1205221056910404e-05,5.101116253096129e-07
9.386741670891389e-06,2.53025959998796e-09,1.0241538132222864e-05,1.9101606598999457e-08,1.104507825795556e-05,1.1013382842961675e-07,1.1799726929991226e-05,5.101116253096129e-07
9.6270207011972e-06,2.53025959998796e-09,1.040304546820571e-05,1.9101606598999457e-08,1.112602271186371e-05,1.1013382842961675e-07,1.1799726929991226e-05,5.101116253096129e-07
9.873450322882737e-06,2.53025959998796e-09,1.0777270169437327e-05,1.9101606598999457e-08,1.1627239497260324e-05,1.1013382842961675e-07,1.2425774994996018e-05,5.101116253096129e-07
1.0126187976962605e-05,2.53025959998796e-09,1.0947225909655388e-05,1.9101606598999457e-08,1.1712450351324406e-05,1.1013382842961675e-07,1.2425774994996018e-05,5.101116253096129e-07
1.0385395134579832e-05,2.53025959998796e-09,1.134102620187526e-05,1.9101606598999457e-08,1.2240085146456434e-05,1.1013382842961675e-07,1.3085038759145535e-05,5.101116253096129e-07
1.0923884617253412e-05,2.53025959998796e-09,1.1817332519182205e-05,1.9101606598999457e-08,1.2650552524483335e-05,1.1013382842961675e-07,1.342767365074472e-05,5.101116253096129e-07
1.0923884617253412e-05,2.53025959998796e-09,1.193427215700356e-05,1.9101606598999457e-08,1.2885232511793062e-05,1.1013382842961675e-07,1.3779280519508216e-05,5.101116253096129e-07
1.1490295129333448e-05,2.53025959998796e-09,1.2435493926502824e-05,1.9101606598999457e-08,1.331733470234965e-05,1.1013382842961675e-07,1.4140094298819055e-05,5.101116253096129e-07
1.1490295129333448e-05,2.53025959998796e-09,1.2558550644551033e-05,1.9101606598999457e-08,1.3564384144095235e-05,1.1013382842961675e-07,1.451035607384757e-05,5.101116253096129e-07
1.2086074394328343e-05,2.53025959998796e-09,1.3085991186680258e-05,1.9101606598999457e-08,1.401926146950243e-05,1.1013382842961675e-07,1.4890313242637264e-05,5.101116253096129e-07
1.2086074394328343e-05,2.53025959998796e-09,1.3215484967736166e-05,1.9101606598999457e-08,1.4279332331813585e-05,1.1013382842961675e-07,1.5280219681409026e-05,5.101116253096129e-07
1.2712745201150692e-05,2.53025959998796e-09,1.377051577926598e-05,1.9101606598999457e-08,1.475818521821782e-05,1.1013382842961675e-07,1.5680335914193744e-05,5.101116253096129e-07
1.3038162283728982e-05,2.53025959998796e-09,1.4126090981615305e-05,1.9101606598999457e-08,1.514212639154128e-05,1.1013382842961675e-07,1.6090929286906768e-05,5.101116253096129e-07
1.3371909296307278e-05,2.53025959998796e-09,1.4490847664640618e-05,1.9101606598999457e-08,1.553605597620349e-05,1.1013382842961675e-07,1.6512274145980697e-05,5.101116253096129e-07
1.3714199465964077e-05,2.53025959998796e-09,1.4865022907831288e-05,1.9101606598999457e-08,1.5940233825452822e-05,1.1013382842961675e-07,1.6944652021675545e-05,5.101116253096129e-07
1.4065251477901398e-05,2.53025959998796e-09,1.52488599124218e-05,1.9101606598999457e-08,1.6354926552742886e-05,1.1013382842961675e-07,1.7388351816188944e-05,5.101116253096129e-07
1.442528961516022e-05,2.53025959998796e-09,1.5642608159464185e-05,1.9101606598999457e-08,1.678040770760248e-05,1.1013382842961675e-07,1.784366999669217e-05,5.101116253096129e-07
1.4794543901912317e-05,2.53025959998796e-09,1.604652357198256e-05,1.9101606598999457e-08,1.721695795608086e-05,1.1013382842961675e-07,1.831091079342077e-05,5.101116253096129e-07
1.5173250250420004e-05,2.53025959998796e-09,1.6460868681314017e-05,1.9101606598999457e-08,1.7664865265887388e-05,1.1013382842961675e-07,1.8790386402952388e-05,5.101116253096129e-07
1.5561650611757752e-05,2.53025959998796e-09,1.6885912797745526e-05,1.9101606598999457e-08,1.8124425096347705e-05,1.1013382842961675e-07,1.928241719680713e-05,5.101116253096129e-07
1.636853230271726e-05,2.53025959998796e-09,1.7595096146403207e-05,1.9101606598999457e-08,1.873222195057928e-05,1.1013382842961675e-07,1.978733193551056e-05,5.101116253096129e-07
1.636853230271726e-05,2.53025959998796e-09,1.7769210242579516e-05,1.9101606598999457e-08,1.907972278907127e-05,1.1013382842961675e-07,2.0305467988261807e-05,5.101116253096129e-07
1.7217251333394077e-05,2.53025959998796e-09,1.8515490776760524e-05,1.9101606598999457e-08,1.971955524881342e-05,1.1013382842961675e-07,2.083717155835369e-05,5.101116253096129e-07
1.7217251333394077e-05,2.850202930358829e-09,1.8515490776760524e-05,2.0562754134790128e-08,1.971955524881342e-05,1.1398806548290932e-07,2.083717155835369e-05,5.101116253096129e-07
1.810997699702435e-05,8.564118329519864e-09,1.948403099657875e-05,4.174995938631864e-08,2.075892866510584e-05,1.6477816759883386e-07,2.194271162819413e-05,5.477883972961925e-07
1.810997699702435e-05,5.036604970953739e-08,1.948403099657875e-05,1.612968993182584e-07,2.075892866510584e-05,4.422987690351872e-07,2.194271162819413e-05,1.069163757318779e-06
1.9048991066107458e-05,1.6725601901596277e-07,2.05032352883741e-05,5.063182703629297e-07,2.1853085117063272e-05,1.3222894414189746e-06,2.3106907396222748e-05,3.062785586998645e-06
1.9048991066107458e-05,4.017653835009884e-07,2.05032352883741e-05,1.1692270068244713e-06,2.1853085117063272e-05,2.9509939449384382e-06,2.3106907396222748e-05,6.634055700458786e-06
2.003669362452892e-05,8.13017445306826e-07,2.15757538757891e-05,2.280714861236183e-06,2.300491209531204e-05,5.57586995999171e-06,2.4332870907876733e-05,1.2190571759434582e-05
2.003669362452892e-05,1.4398300366310445e-06,2.15757538757891e-05,3.994916613973448e-06,2.300491209531204e-05,9.674117164919067e-06,2.4332870907876733e-05,2.097500215276668e-05
2.1075609202082247e-05,2.454568573961743e-06,2.2704375614934685e-05,6.791725620378502e-06,2.421744928361652e-05,1.6407828209459575e-05,2.562387932173835e-05,3.55008046829032e-05
2.1075609202082247e-05,3.662040347001816e-06,2.2704375614934685e-05,1.0499254326630586e-05,2.421744928361652e-05,2.61578719488791e-05,2.562387932173835e-05,5.8142120756551785e-05
2.2168393227070563e-05,4.60264702970664e-06,2.3892035246216283e-05,1.432446387394187e-05,2.549389658063736e-05,3.831830777856328e-05,2.698338366980232e-05,9.063966114486516e-05
2.2168393227070563e-05,4.60264702970664e-06,2.3892035246216283e-05,1.5735784856235464e-05,2.549389658063736e-05,4.5665166883183925e-05,2.698338366980232e-05,0.0001159964262171
2.331783881347889e-05,4.60264702970664e-06,2.5141821025501138e-05,1.5735784856235464e-05,2.6837622544498388e-05,4.5665166883183925e-05,2.8415018082529765e-05,0.0001159964262171
2.331783881347889e-05,4.60264702970664e-06,2.5141821025501138e-05,1.5735784856235464e-05,2.6837622544498388e-05,4.5665166883183925e-05,2.8415018082529765e-05,0.0001159964262171
2.452688390006665e-05,4.60264702970664e-06,2.6197740302106512e-05,1.5735784856235464e-05,2.773761371502592e-05,4.5665166883183925e-05,2.9159072175124004e-05,0.0001159964262171
2.452688390006665e-05,4.60264702970664e-06,2.645698275446984e-05,1.5735784856235464e-05,2.8252173282447625e-05,4.5665166883183925e-05,2.992260950334731e-05,0.0001159964262171
2.579861875962592e-05,4.60264702970664e-06,2.756813687743199e-05,1.5735784856235464e-05,2.9199600963877267e-05,4.5665166883183925e-05,3.070614024041736e-05,0.0001159964262171
2.579861875962592e-05,4.60264702970664e-06,2.7840940231033446e-05,1.5735784856235464e-05,2.9741281809072736e-05,4.5665166883183925e-05,3.151018791856056e-05,0.0001159964262171
2.645900415384797e-05,4.60264702970664e-06,2.8559834723798304e-05,1.5735784856235464e-05,3.051501533152672e-05,4.5665166883183925e-05,3.233528977882062e-05,0.0001159964262171
2.7136293897599893e-05,4.60264702970664e-06,2.929729214178896e-05,1.5735784856235464e-05,3.130887789776599e-05,4.5665166883183925e-05,3.3181997130027364e-05,0.0001159964262171
2.783092070340924e-05,4.60264702970664e-06,2.975930551753801e-05,1.5735784856235464e-05,3.153832670425906e-05,4.5665166883183925e-05,3.3181997130027364e-05,0.0001159964262171
2.8543328360250405e-05,4.60264702970664e-06,3.082982541963771e-05,1.5735784856235464e-05,3.2959098451438985e-05,4.5665166883183925e-05,3.494250609938735e-05,0.0001159964262171
2.9273972017076484e-05,4.60264702970664e-06,3.131600658774529e-05,1.5735784856235464e-05,3.3200640988589816e-05,4.5665166883183925e-05,3.494250609938735e-05,0.0001159964262171
3.002331847360836e-05,4.60264702970664e-06,3.24425250908974e-05,1.5735784856235464e-05,3.469629841985367e-05,4.5665166883183925e-05,3.6796420894172974e-05,0.0001159964262171
3.079184647856794e-05,4.60264702970664e-06,3.295413826192123e-05,1.5735784856235464e-05,3.495057212101154e-05,4.5665166883183925e-05,3.6796420894172974e-05,0.0001159964262171
3.1580047035544926e-05,4.60264702970664e-06,3.413958463751422e-05,1.5735784856235464e-05,3.6525062292381336e-05,4.5665166883183925e-05,3.874869726773438e-05,0.0001159964262171
3.1580047035544926e-05,4.60264702970664e-06,3.413958463751422e-05,1.5735784856235464e-05,3.6525062292381336e-05,4.5665166883183925e-05,3.874869726773438e-05,0.0001159964262171
3.321749298445781e-05,4.60264702970664e-06,3.557339667036127e-05,1.5735784856235464e-05,3.774991868611022e-05,4.5665166883183925e-05,3.976334123878576e-05,0.0001159964262171
3.321749298445781e-05,5.463501670040609e-06,3.592541690131906e-05,1.7497854683058314e-05,3.845021619651959e-05,4.798402787645615e-05,4.080455390660834e-05,0.0001159964262171
3.493984156928492e-05,7.410550559596964e-06,3.70674266867418e-05,2.1131676543079583e-05,3.901585025099832e-05,5.24010074736387e-05,4.080455390660834e-05,0.0001159964262171
3.493984156928492e-05,1.0051476674287316e-05,3.7804665558683184e-05,2.552014298951136e-05,4.047684063409475e-05,5.722457462975135e-05,4.296948638073925e-05,0.0001159964262171
3.675149504683968e-05,1.33762861725172e-05,3.900641356125305e-05,3.0458634578616053e-05,4.1072287987715065e-05,6.214916896156759e-05,4.296948638073925e-05,0.0001159964262171
3.675149504683968e-05,1.78008702170879e-05,3.978221719540891e-05,3.822109354459982e-05,4.261028388876016e-05,7.411681243640502e-05,4.524928183384746e-05,0.000132305730451
3.769224892094789e-05,2.324198432890272e-05,4.040957607800749e-05,4.92150553308225e-05,4.2922555660828575e-05,9.429299888785891e-05,4.524928183384746e-05,0.0001665571323678
3.865708393381023e-05,3.034625998376224e-05,4.186321401325503e-05,6.258229842754452e-05,4.485617614017459e-05,0.0001171885011264,4.765003445320987e-05,0.0002028917105296
3.964661650727721e-05,3.887437611753578e-05,4.2523389866107496e-05,7.914142900136478e-05,4.5184907055182734e-05,0.0001465476805724,4.765003445320987e-05,0.0002512506118109
4.066147884218256e-05,5.07569365711293e-05,4.362140704996532e-05,0.0001006369391327,4.636041379769617e-05,0.0001821312635337,4.889776208245826e-05,0.000306061143568
4.066147884218256e-05,6.379401678012183e-05,4.405306720113739e-05,0.0001249877088681,4.722044432210692e-05,0.0002238771062833,5.017816176020908e-05,0.0003728286388121
4.276980292833737e-05,8.172185316035074e-05,4.545344159233165e-05,0.0001570720879539,4.7915095588557134e-05,0.000276710126321,5.017816176020908e-05,0.0004541615191593
4.276980292833737e-05,0.0001027123704463,4.635747100577277e-05,0.0001938600122641,4.97093277636779e-05,0.0003361798314159,5.284042176519555e-05,0.0005442139210147
4.498744498764098e-05,0.0001242681616697,4.7831098595438864e-05,0.0002336866007502,5.044059253640809e-05,0.0004039595600032,5.284042176519555e-05,0.0006521221621206
4.498744498764098e-05,0.0001561868332949,4.878241753835417e-05,0.0002884184445341,5.232939465501607e-05,0.0004907773292806,5.56439310325207e-05,0.0007814267476583
4.732007322799949e-05,0.0001925995434651,5.033313018111646e-05,0.0003495986595028,5.309920274961425e-05,0.0005860873260836,5.56439310325207e-05,0.0009210979801073
4.732007322799949e-05,0.0002330195584119,5.083120688364139e-05,0.0004187884208391,5.4084244328100265e-05,0.0006960652993621,5.710098076912588e-05,0.0010857338726888
4.853135843301175e-05,0.0002873447115983,5.214374426154585e-05,0.0005044530182062,5.549127154171791e-05,0.0008215788277018,5.859618370403204e-05,0.0012589230598223
4.977364975757968e-05,0.0003543349916471,5.296604234950172e-05,0.0006114591569618,5.58979423290777e-05,0.0009811311761292,5.859618370403204e-05,0.0014839413815661
4.977364975757968e-05,0.0004286977102751,5.401949085681116e-05,0.0007278999523034,5.7991100767309496e-05,0.0011516914631791,6.170507153187968e-05,0.0017206500337432
5.235444582372949e-05,0.000508879051753,5.573668142780669e-05,0.0008563555305222,5.884419717860247e-05,0.0013444821351536,6.170507153187968e-05,0.0019951169065021
5.235444582372949e-05,0.0006275168718064,5.6845235536211895e-05,0.0010250841006179,6.104768129149264e-05,0.0015684681685827,6.497890497418848e-05,0.0022756338988897
5.506905784204444e-05,0.0007592110642302,5.865225187273277e-05,0.001220291918849,6.194574249637462e-05,0.0018411313838292,6.497890497418848e-05,0.0026386281786814
5.506905784204444e-05,0.0009012098669663,5.923265130553802e-05,0.001435641986582,6.309489594519086e-05,0.0021493328145334,6.668039325189819e-05,0.003059524938844
5.647869925778454e-05,0.0010697673711341,6.07621264763494e-05,0.0016784480282686,6.473633952526034e-05,0.002479956000515,6.842643540998413e-05,0.0034896995973726
5.7924424256553394e-05,0.0012942747212191,6.172033500412626e-05,0.0019855986418943,6.521076329379355e-05,0.0028772292421017,6.842643540998413e-05,0.0039803575794692
5.7924424256553394e-05,0.0015363489868399,6.294789877699981e-05,0.0023214172868786,6.765265030724322e-05,0.0033198217956562,7.205687853275784e-05,0.0045400029482097
6.092784327411402e-05,0.0018236995366339,6.494890871858506e-05,0.002748250394188,6.864787599580455e-05,0.0039211390372354,7.205687853275784e-05,0.0053514773557577
6.092784327411402e-05,0.0021647946061783,6.624068601411134e-05,0.0032130541586454,7.121846938297045e-05,0.0045243120183583,7.587993898520456e-05,0.0061039046084038
6.248745614232874e-05,0.0023811417944266,6.728529050551654e-05,0.0035833770329348,7.174039779105816e-05,0.0051066032894682,7.587993898520456e-05,0.0069621244736106
6.408699151834903e-05,0.0023811417944266,6.902269679952433e-05,0.0037675398670486,7.360675819345978e-05,0.0056073901630265,7.786687346413978e-05,0.0079410115812283
6.408699151834903e-05,0.0023811417944266,6.970571804413146e-05,0.0039611675018678,7.49722347641724e-05,0.0061572874684143,7.990583630098303e-05,0.0090575319605711
6.740994365080229e-05,0.0023811417944266,7.192154792092806e-05,0.0041387375686034,7.607513751265729e-05,0.0066825082426299,7.990583630098303e-05,0.0101625375948797
6.740994365080229e-05,0.0023811417944266,7.335200494470816e-05,0.0043514424091162,7.892385267799926e-05,0.0073378386492929,8.414533222284802e-05,0.0115914084905402
7.090519300946277e-05,0.0023811417944266,7.56837442716957e-05,0.0044618597550383,8.00848869503987e-05,0.0076892235122873,8.414533222284802e-05,0.0123795036972207
7.090519300946277e-05,0.0023811417944266,7.718902810816804e-05,0.0044618597550383,8.308375148656025e-05,0.0076892235122873,8.860975947017758e-05,0.0123795036972207
7.090519300946277e-05,0.0023811417944266,7.718902810816804e-05,0.0044618597550383,8.308375148656025e-05,0.0076892235122873,8.860975947017758e-05,0.0123795036972207
7.45816733174102e-05,0.0023811417944266,7.964274007674249e-05,0.0044618597550383,8.430598126478679e-05,0.0076892235122873,8.860975947017758e-05,0.0123795036972207
7.45816733174102e-05,0.0023811417944266,8.122676489585679e-05,0.0044618597550383,8.74629092074813e-05,0.0076892235122873,9.331105203279147e-05,0.0123795036972207
7.844878151706851e-05,0.0023811417944266,8.380882986128521e-05,0.0044618597550383,8.874955996904463e-05,0.0076892235122873,9.331105203279147e-05,0.0123795036972207
7.844878151706851e-05,0.0023811417944266,8.463816881695069e-05,0.0044618597550383,9.03959501616447e-05,0.0076892235122873,9.575442440537368e-05,0.0123795036972207
8.045689016780996e-05,0.0023811417944266,8.682365224298745e-05,0.0044618597550383,9.274764358841565e-05,0.0076892235122873,9.826177707204762e-05,0.0123795036972207
8.251640178842807e-05,0.0023811417944266,8.81928466543176e-05,0.0044618597550383,9.342734971508984e-05,0.0076892235122873,9.826177707204762e-05,0.0123795036972207
8.251640178842807e-05,0.0023811417944266,8.994692565551727e-05,0.0044618597550383,9.692583708808508e-05,0.0076892235122873,0.0001034751685144,0.0123795036972207
8.679493081263294e-05,0.0023811417944266,9.280619015756704e-05,0.0044618597550383,9.835169524023838e-05,0.0076892235122873,0.0001034751685144,0.0123795036972207
8.679493081263294e-05,0.0023811417944266,9.372456342386666e-05,0.0044618597550383,0.000100176214331,0.0076892235122873,0.0001061846907252,0.0123795036972207
8.901668171857222e-05,0.0023811417944266,9.614467107554334e-05,0.0044618597550383,0.0001027823459591,0.0076892235122873,0.0001089651624278,0.0123795036972207
