XFe;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840;850;860;870;880;890;900;910;920;930;940;950;960;970;980;990;1000
0;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001;0.00001
0.009;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05;1.93E-05
0.01;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05;2.17E-05
0.011;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05;2.42E-05
0.012;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05;2.67E-05
0.013;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05;2.93E-05
0.014;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05;3.19E-05
0.015;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05;3.46E-05
0.016;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05;3.74E-05
0.017;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05;4.02E-05
0.018;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05;4.31E-05
