X_Cu;X_Al;a-Al(700);a-Cu(700)
0.271;0.729;0.63952984;0.008286416
0.272;0.728;0.63759767;0.008353967
0.273;0.727;0.63566106;0.008422088
0.274;0.726;0.63372004;0.008490784
0.275;0.725;0.63177464;0.008560061
0.276;0.724;0.62982489;0.008629924
0.277;0.723;0.62787081;0.008700379
0.278;0.722;0.62591245;0.008771432
0.279;0.721;0.62394983;0.008843088
0.28;0.72;0.62198298;0.008915353
0.281;0.719;0.62001194;0.008988234
0.282;0.718;0.61803674;0.009061736
0.283;0.717;0.6160574;0.009135864
0.284;0.716;0.61407397;0.009210626
0.285;0.715;0.61208648;0.009286027
0.286;0.714;0.61009497;0.009362073
0.287;0.713;0.60809946;0.00943877
0.288;0.712;0.6061;0.009516125
0.289;0.711;0.60409661;0.009594145
0.29;0.71;0.60208934;0.009672834
0.291;0.709;0.60007823;0.009752201
0.292;0.708;0.59806331;0.009832251
0.293;0.707;0.59604461;0.009912991
0.294;0.706;0.59402218;0.009994427
0.295;0.705;0.59199606;0.010076567
0.296;0.704;0.58996628;0.010159416
0.297;0.703;0.58793289;0.010242983
0.298;0.702;0.58589592;0.010327273
0.299;0.701;0.58385542;0.010412293
0.3;0.7;0.58181142;0.010498051
0.301;0.699;0.57976397;0.010584554
0.302;0.698;0.57771311;0.010671809
0.303;0.697;0.57565889;0.010759823
0.304;0.696;0.57360133;0.010848603
0.305;0.695;0.5715405;0.010938157
0.306;0.694;0.56947643;0.011028492
0.307;0.693;0.56740916;0.011119615
0.308;0.692;0.56533875;0.011211535
0.309;0.691;0.56326523;0.011304258
0.31;0.69;0.56118865;0.011397792
0.311;0.689;0.55910906;0.011492146
0.312;0.688;0.5570265;0.011587327
0.313;0.687;0.55494102;0.011683343
0.314;0.686;0.55285267;0.011780202
0.315;0.685;0.5507615;0.011877911
0.316;0.684;0.54866754;0.01197648
0.317;0.683;0.54657086;0.012075917
0.318;0.682;0.5444715;0.012176229
0.319;0.681;0.54236951;0.012277425
0.32;0.68;0.54026493;0.012379513
0.321;0.679;0.53815783;0.012482502
0.322;0.678;0.53604824;0.012586402
0.323;0.677;0.53393622;0.012691219
0.324;0.676;0.53182182;0.012796964
0.325;0.675;0.5297051;0.012903644
0.326;0.674;0.5275861;0.013011269
0.327;0.673;0.52546488;0.013119849
0.328;0.672;0.52334148;0.013229391
0.329;0.671;0.52121597;0.013339906
0.33;0.67;0.5190884;0.013451402
0.331;0.669;0.51695881;0.013563889
0.332;0.668;0.51482727;0.013677376
0.333;0.667;0.51269382;0.013791873
0.334;0.666;0.51055853;0.01390739
0.335;0.665;0.50842145;0.014023936
0.336;0.664;0.50628263;0.014141521
0.337;0.663;0.50414213;0.014260155
0.338;0.662;0.502;0.014379848
0.339;0.661;0.49985631;0.01450061
0.34;0.66;0.4977111;0.014622451
0.341;0.659;0.49556444;0.014745382
0.342;0.658;0.49341639;0.014869412
0.343;0.657;0.491267;0.014994554
0.344;0.656;0.48911632;0.015120816
0.345;0.655;0.48696443;0.015248209
0.346;0.654;0.48481137;0.015376745
0.347;0.653;0.4826572;0.015506435
0.348;0.652;0.48050199;0.015637288
0.349;0.651;0.4783458;0.015769317
0.35;0.65;0.47618867;0.015902532
0.351;0.649;0.47403069;0.016036946
0.352;0.648;0.47187189;0.016172568
0.353;0.647;0.46971235;0.016309411
0.354;0.646;0.46755213;0.016447486
0.355;0.645;0.46539129;0.016586806
0.356;0.644;0.46322988;0.016727381
0.357;0.643;0.46106797;0.016869223
0.358;0.642;0.45890563;0.017012346
0.359;0.641;0.45674291;0.017156761
0.36;0.64;0.45457987;0.017302479
0.361;0.639;0.45241659;0.017449514
0.362;0.638;0.45025311;0.017597879
0.363;0.637;0.44808951;0.017747584
0.364;0.636;0.44592585;0.017898644
0.365;0.635;0.44376219;0.018051072
0.366;0.634;0.44159859;0.018204879
0.367;0.633;0.43943512;0.01836008
0.368;0.632;0.43727185;0.018516687
0.369;0.631;0.43510883;0.018674714
0.37;0.63;0.43294613;0.018834174
0.371;0.629;0.43078381;0.018995081
0.372;0.628;0.42862195;0.019157448
0.373;0.627;0.4264606;0.019321289
0.374;0.626;0.42429982;0.019486619
0.375;0.625;0.42213969;0.019653451
0.376;0.624;0.41998027;0.019821799
0.377;0.623;0.41782163;0.019991678
0.378;0.622;0.41566382;0.020163102
0.379;0.621;0.41350692;0.020336086
0.38;0.62;0.41135099;0.020510645
0.381;0.619;0.4091961;0.020686792
0.382;0.618;0.4070423;0.020864545
0.383;0.617;0.40488968;0.021043916
0.384;0.616;0.40273829;0.021224923
0.385;0.615;0.4005882;0.021407579
0.386;0.614;0.39843947;0.021591902
0.387;0.613;0.39629218;0.021777905
0.388;0.612;0.39414638;0.021965606
0.389;0.611;0.39200215;0.02215502
0.39;0.61;0.38985955;0.022346163
0.391;0.609;0.38771865;0.022539052
0.392;0.608;0.38557951;0.022733703
0.393;0.607;0.3834422;0.022930132
0.394;0.606;0.38130678;0.023128357
0.395;0.605;0.38014046;0.023237465
0.396;0.604;0.38014046;0.023237465
0.397;0.603;0.38014046;0.023237465
0.398;0.602;0.38014046;0.023237465
0.399;0.601;0.38014046;0.023237465
0.4;0.6;0.38014046;0.023237465
0.401;0.599;0.38014046;0.023237465
0.402;0.598;0.38014046;0.023237465
0.403;0.597;0.38014046;0.023237465
0.404;0.596;0.38014046;0.023237465
0.405;0.595;0.38014046;0.023237465
0.406;0.594;0.38014046;0.023237465
0.407;0.593;0.38014046;0.023237465
0.408;0.592;0.38014046;0.023237465
0.409;0.591;0.38014046;0.023237465
0.41;0.59;0.38014046;0.023237465
0.411;0.589;0.38014046;0.023237465
0.412;0.588;0.38014046;0.023237465
0.413;0.587;0.38014046;0.023237465
0.414;0.586;0.38014046;0.023237465
0.415;0.585;0.38014046;0.023237465
0.416;0.584;0.38014046;0.023237465
0.417;0.583;0.38014046;0.023237465
0.418;0.582;0.38014046;0.023237465
0.419;0.581;0.38014046;0.023237465
0.42;0.58;0.38014046;0.023237465
0.421;0.579;0.38014046;0.023237465
0.422;0.578;0.38014046;0.023237465
0.423;0.577;0.38014046;0.023237465
0.424;0.576;0.38014046;0.023237465
0.425;0.575;0.38014046;0.023237465
0.426;0.574;0.38014046;0.023237465
0.427;0.573;0.38014046;0.023237465
0.428;0.572;0.38014046;0.023237465
0.429;0.571;0.38014046;0.023237465
0.43;0.57;0.38014046;0.023237465
0.431;0.569;0.38014046;0.023237465
0.432;0.568;0.38014046;0.023237465
0.433;0.567;0.38014046;0.023237465
0.434;0.566;0.38014046;0.023237465
0.435;0.565;0.38014046;0.023237465
0.436;0.564;0.38014046;0.023237465
0.437;0.563;0.38014046;0.023237465
0.438;0.562;0.38014046;0.023237465
0.439;0.561;0.38014046;0.023237465
0.44;0.56;0.38014046;0.023237465
