XSn;aSn;XCu;aCu;Sn_ideal;Cu_ideal;;;T = 450øC
0.169;0.007874982;0.831;0.91222802;0.169;0.831;;;
0.17;0.007874982;0.83;0.91222802;0.17;0.83;;;
0.171;0.007874982;0.829;0.91222802;0.171;0.829;;;
0.172;0.007874982;0.828;0.91222802;0.172;0.828;;;
0.173;0.007874982;0.827;0.91222802;0.173;0.827;;;
0.174;0.007874982;0.826;0.91222802;0.174;0.826;;;
0.175;0.007874982;0.825;0.91222802;0.175;0.825;;;
0.176;0.007874982;0.824;0.91222802;0.176;0.824;;;
0.177;0.007874982;0.823;0.91222802;0.177;0.823;;;
0.178;0.007874982;0.822;0.91222802;0.178;0.822;;;
0.179;0.007874982;0.821;0.91222802;0.179;0.821;;;
0.18;0.007874982;0.82;0.91222802;0.18;0.82;;;
0.181;0.007874982;0.819;0.91222802;0.181;0.819;;;
0.182;0.007874982;0.818;0.91222802;0.182;0.818;;;
0.183;0.007874982;0.817;0.91222802;0.183;0.817;;;
0.184;0.007874982;0.816;0.91222802;0.184;0.816;;;
0.185;0.007874982;0.815;0.91222802;0.185;0.815;;;
0.186;0.007874982;0.814;0.91222802;0.186;0.814;;;
0.187;0.007874982;0.813;0.91222802;0.187;0.813;;;
0.188;0.007874982;0.812;0.91222802;0.188;0.812;;;
0.189;0.007874982;0.811;0.91222802;0.189;0.811;;;
0.19;0.007874982;0.81;0.91222802;0.19;0.81;;;
0.191;0.007874982;0.809;0.91222802;0.191;0.809;;;
0.192;0.007874982;0.808;0.91222802;0.192;0.808;;;
0.193;0.007874982;0.807;0.91222802;0.193;0.807;;;
0.194;0.007874982;0.806;0.91222802;0.194;0.806;;;
0.195;0.007874982;0.805;0.91222802;0.195;0.805;;;
0.196;0.007874982;0.804;0.91222802;0.196;0.804;;;
0.197;0.007874982;0.803;0.91222802;0.197;0.803;;;
0.198;0.007874982;0.802;0.91222802;0.198;0.802;;;
0.199;0.007874982;0.801;0.91222802;0.199;0.801;;;
0.2;0.007874982;0.8;0.91222802;0.2;0.8;;;
0.201;0.007874982;0.799;0.91222802;0.201;0.799;;;
0.202;0.007874982;0.798;0.91222802;0.202;0.798;;;
0.203;0.007874982;0.797;0.91222802;0.203;0.797;;;
0.204;0.007874982;0.796;0.91222802;0.204;0.796;;;
0.205;0.007874982;0.795;0.91222802;0.205;0.795;;;
0.206;0.007874982;0.794;0.91222802;0.206;0.794;;;
0.207;0.007874982;0.793;0.91222802;0.207;0.793;;;
0.208;0.007874982;0.792;0.91222802;0.208;0.792;;;
0.209;0.007874982;0.791;0.91222802;0.209;0.791;;;
0.21;0.007874982;0.79;0.91222802;0.21;0.79;;;
0.211;0.007874982;0.789;0.91222802;0.211;0.789;;;
0.212;0.011438535;0.788;0.82506305;0.212;0.788;;;
0.213;0.011438535;0.787;0.82506305;0.213;0.787;;;
0.214;0.011438535;0.786;0.82506305;0.214;0.786;;;
0.215;0.011438535;0.785;0.82506305;0.215;0.785;;;
0.216;0.011438535;0.784;0.82506305;0.216;0.784;;;
0.217;0.011438535;0.783;0.82506305;0.217;0.783;;;
0.218;0.011438535;0.782;0.82506305;0.218;0.782;;;
0.219;0.011438535;0.781;0.82506305;0.219;0.781;;;
0.22;0.011438535;0.78;0.82506305;0.22;0.78;;;
0.221;0.011438535;0.779;0.82506305;0.221;0.779;;;
0.222;0.011438535;0.778;0.82506305;0.222;0.778;;;
0.223;0.011438535;0.777;0.82506305;0.223;0.777;;;
0.224;0.011438535;0.776;0.82506305;0.224;0.776;;;
0.225;0.011438535;0.775;0.82506305;0.225;0.775;;;
0.226;0.011438535;0.774;0.82506305;0.226;0.774;;;
0.227;0.011438535;0.773;0.82506305;0.227;0.773;;;
0.228;0.011438535;0.772;0.82506305;0.228;0.772;;;
0.229;0.011438535;0.771;0.82506305;0.229;0.771;;;
0.23;0.011438535;0.77;0.82506305;0.23;0.77;;;
0.231;0.011438535;0.769;0.82506305;0.231;0.769;;;
0.232;0.011438535;0.768;0.82506305;0.232;0.768;;;
0.233;0.011438535;0.767;0.82506305;0.233;0.767;;;
0.234;0.011438535;0.766;0.82506305;0.234;0.766;;;
0.235;0.011438535;0.765;0.82506305;0.235;0.765;;;
0.236;0.011438535;0.764;0.82506305;0.236;0.764;;;
0.237;0.011438535;0.763;0.82506305;0.237;0.763;;;
0.238;0.011438535;0.762;0.82506305;0.238;0.762;;;
0.239;0.011438535;0.761;0.82506305;0.239;0.761;;;
0.24;0.011438535;0.76;0.82506305;0.24;0.76;;;
0.241;0.011438535;0.759;0.82506305;0.241;0.759;;;
0.242;0.011438535;0.758;0.82506305;0.242;0.758;;;
0.243;0.011438535;0.757;0.82506305;0.243;0.757;;;
0.244;0.011438535;0.756;0.82506305;0.244;0.756;;;
0.245;0.011438535;0.755;0.82506305;0.245;0.755;;;
0.246;0.011438535;0.754;0.82506305;0.246;0.754;;;
0.247;0.011438535;0.753;0.82506305;0.247;0.753;;;
0.248;0.011438535;0.752;0.82506305;0.248;0.752;;;
0.249;0.011438535;0.751;0.82506305;0.249;0.751;;;
0.25;0.087892723;0.75;0.32644909;0.25;0.75;;;
0.251;0.82293689;0.749;0.19837568;0.251;0.749;;;
0.252;0.82293689;0.748;0.19837568;0.252;0.748;;;
0.253;0.82293689;0.747;0.19837568;0.253;0.747;;;
0.254;0.82293689;0.746;0.19837568;0.254;0.746;;;
0.255;0.82293689;0.745;0.19837568;0.255;0.745;;;
0.256;0.82293689;0.744;0.19837568;0.256;0.744;;;
0.257;0.82293689;0.743;0.19837568;0.257;0.743;;;
0.258;0.82293689;0.742;0.19837568;0.258;0.742;;;
0.259;0.82293689;0.741;0.19837568;0.259;0.741;;;
0.26;0.82293689;0.74;0.19837568;0.26;0.74;;;
0.261;0.82293689;0.739;0.19837568;0.261;0.739;;;
0.262;0.82293689;0.738;0.19837568;0.262;0.738;;;
0.263;0.82293689;0.737;0.19837568;0.263;0.737;;;
0.264;0.82293689;0.736;0.19837568;0.264;0.736;;;
0.265;0.82293689;0.735;0.19837568;0.265;0.735;;;
0.266;0.82293689;0.734;0.19837568;0.266;0.734;;;
0.267;0.82293689;0.733;0.19837568;0.267;0.733;;;
0.268;0.82293689;0.732;0.19837568;0.268;0.732;;;
0.269;0.82293689;0.731;0.19837568;0.269;0.731;;;
0.27;0.82293689;0.73;0.19837568;0.27;0.73;;;
0.271;0.82293689;0.729;0.19837568;0.271;0.729;;;
0.272;0.82293689;0.728;0.19837568;0.272;0.728;;;
0.273;0.82293689;0.727;0.19837568;0.273;0.727;;;
0.274;0.82293689;0.726;0.19837568;0.274;0.726;;;
0.275;0.82293689;0.725;0.19837568;0.275;0.725;;;
0.276;0.82293689;0.724;0.19837568;0.276;0.724;;;
0.277;0.82293689;0.723;0.19837568;0.277;0.723;;;
0.278;0.82293689;0.722;0.19837568;0.278;0.722;;;
0.279;0.82293689;0.721;0.19837568;0.279;0.721;;;
0.28;0.82293689;0.72;0.19837568;0.28;0.72;;;
0.281;0.82293689;0.719;0.19837568;0.281;0.719;;;
0.282;0.82293689;0.718;0.19837568;0.282;0.718;;;
0.283;0.82293689;0.717;0.19837568;0.283;0.717;;;
0.284;0.82293689;0.716;0.19837568;0.284;0.716;;;
0.285;0.82293689;0.715;0.19837568;0.285;0.715;;;
0.286;0.82293689;0.714;0.19837568;0.286;0.714;;;
0.287;0.82293689;0.713;0.19837568;0.287;0.713;;;
0.288;0.82293689;0.712;0.19837568;0.288;0.712;;;
0.289;0.82293689;0.711;0.19837568;0.289;0.711;;;
0.29;0.82293689;0.71;0.19837568;0.29;0.71;;;
0.291;0.82293689;0.709;0.19837568;0.291;0.709;;;
0.292;0.82293689;0.708;0.19837568;0.292;0.708;;;
