XFe;aFe;Xal;aAl
0.209;0.0001999;0.791;0.92882766
0.21;0.0001999;0.79;0.92882766
0.211;0.0001999;0.789;0.92882766
0.212;0.0001999;0.788;0.92882766
0.213;0.0001999;0.787;0.92882766
0.214;0.0001999;0.786;0.92882766
0.215;0.0001999;0.785;0.92882766
0.216;0.0001999;0.784;0.92882766
0.217;0.0001999;0.783;0.92882766
0.218;0.0001999;0.782;0.92882766
0.219;0.0001999;0.781;0.92882766
0.22;0.0001999;0.78;0.92882766
0.221;0.0001999;0.779;0.92882766
0.222;0.0001999;0.778;0.92882766
0.223;0.0001999;0.777;0.92882766
0.224;0.0001999;0.776;0.92882766
0.225;0.0001999;0.775;0.92882766
0.226;0.0001999;0.774;0.92882766
0.227;0.0001999;0.773;0.92882766
0.228;0.0001999;0.772;0.92882766
0.229;0.0001999;0.771;0.92882766
0.23;0.0001999;0.77;0.92882766
0.231;0.0001999;0.769;0.92882766
0.232;0.0001999;0.768;0.92882766
0.233;0.0001999;0.767;0.92882766
0.234;0.0001999;0.766;0.92882766
0.235;0.0001999;0.765;0.92882766
0.236;0.0001999;0.764;0.92882766
0.237;0.0001999;0.763;0.92882766
0.238;0.0001999;0.762;0.92882766
0.239;0.0001999;0.761;0.92882766
0.24;0.0001999;0.76;0.92882766
0.241;0.0001999;0.759;0.92882766
0.242;0.000309081;0.758;0.80841482
0.243;0.000529098;0.757;0.68061086
0.244;0.000859692;0.756;0.58216727
0.245;0.001342183;0.755;0.50400902
0.246;0.002031089;0.754;0.44045177
0.247;0.002998501;0.753;0.38775354
0.248;0.003703448;0.752;0.36176791
0.249;0.003703448;0.751;0.36176791
0.25;0.003703448;0.75;0.36176791
0.251;0.003703448;0.749;0.36176791
0.252;0.003703448;0.748;0.36176791
0.253;0.003703448;0.747;0.36176791
0.254;0.003703448;0.746;0.36176791
0.255;0.003703448;0.745;0.36176791
0.256;0.003703448;0.744;0.36176791
0.257;0.003703448;0.743;0.36176791
0.258;0.003703448;0.742;0.36176791
0.259;0.003703448;0.741;0.36176791
0.26;0.003703448;0.74;0.36176791
0.261;0.003703448;0.739;0.36176791
0.262;0.003703448;0.738;0.36176791
0.263;0.003703448;0.737;0.36176791
0.264;0.003703448;0.736;0.36176791
0.265;0.003703448;0.735;0.36176791
0.266;0.003703448;0.734;0.36176791
0.267;0.003703448;0.733;0.36176791
0.268;0.003703448;0.732;0.36176791
0.269;0.003703448;0.731;0.36176791
0.27;0.003703448;0.73;0.36176791
0.271;0.003703448;0.729;0.36176791
0.272;0.003703448;0.728;0.36176791
0.273;0.003703448;0.727;0.36176791
0.274;0.003703448;0.726;0.36176791
0.275;0.003703448;0.725;0.36176791
0.276;0.003703448;0.724;0.36176791
0.277;0.003703448;0.723;0.36176791
0.278;0.003703448;0.722;0.36176791
0.279;0.003703448;0.721;0.36176791
0.28;0.003744187;0.72;0.36023238
0.281;0.004203491;0.719;0.34434336
0.282;0.004708876;0.718;0.3293623
0.283;0.005264699;0.717;0.31520667
0.284;0.005875798;0.716;0.30180366
0.285;0.006547559;0.715;0.28908881
0.286;0.007285987;0.714;0.27700478
0.287;0.008097793;0.713;0.26550047
0.288;0.008990495;0.712;0.25453014
0.289;0.009972533;0.711;0.24405276
0.29;0.011053407;0.71;0.2340314
0.291;0.012243832;0.709;0.22443274
0.292;0.013555931;0.708;0.21522661
0.293;0.015003452;0.707;0.2063857
0.294;0.016602036;0.706;0.19788513
0.295;0.018369523;0.705;0.18970227
0.296;0.02032633;0.704;0.18181645
0.297;0.022495902;0.703;0.17420876
0.298;0.024905248;0.702;0.16686188
0.299;0.027585601;0.701;0.15975988
0.3;0.030573218;0.7;0.15288812
0.301;0.033910362;0.699;0.14623312
0.302;0.034233551;0.698;0.1456369
0.303;0.034233551;0.697;0.1456369
0.304;0.034233551;0.696;0.1456369
0.305;0.034233551;0.695;0.1456369
0.306;0.034233551;0.694;0.1456369
0.307;0.034233551;0.693;0.1456369
0.308;0.034233551;0.692;0.1456369
0.309;0.034233551;0.691;0.1456369
0.31;0.034233551;0.69;0.1456369
0.311;0.034233551;0.689;0.1456369
0.312;0.034233551;0.688;0.1456369
0.313;0.034233551;0.687;0.1456369
0.314;0.034233551;0.686;0.1456369
0.315;0.034233551;0.685;0.1456369
0.316;0.034233551;0.684;0.1456369
0.317;0.034233551;0.683;0.1456369
0.318;0.034233551;0.682;0.1456369
0.319;0.034233551;0.681;0.1456369
0.32;0.034233551;0.68;0.1456369
0.321;0.034233551;0.679;0.1456369
0.322;0.034233551;0.678;0.1456369
0.323;0.034233551;0.677;0.1456369
0.324;0.034233551;0.676;0.1456369
0.325;0.034233551;0.675;0.1456369
0.326;0.034233551;0.674;0.1456369
0.327;0.034233551;0.673;0.1456369
0.328;0.034233551;0.672;0.1456369
0.329;0.034233551;0.671;0.1456369
0.33;0.034233551;0.67;0.1456369
0.331;0.034233551;0.669;0.1456369
0.332;0.034233551;0.668;0.1456369
0.333;0.034233551;0.667;0.1456369
0.334;0.034233551;0.666;0.1456369
0.335;0.03540502;0.665;0.14319044
0.336;0.040840701;0.664;0.13322818
0.337;0.047264645;0.663;0.12371436
0.338;0.053;0.662;0.12168189
0.339;0.053;0.661;0.12168189
0.34;0.053;0.66;0.12168189
0.341;0.053;0.659;0.12168189
0.342;0.053;0.658;0.12168189
0.343;0.053;0.657;0.12168189
0.344;0.053;0.656;0.12168189
0.345;0.053;0.655;0.12168189
0.346;0.053;0.654;0.12168189
0.347;0.053;0.653;0.12168189
0.348;0.053;0.652;0.12168189
0.349;0.053;0.651;0.12168189
0.35;0.053;0.65;0.12168189
0.351;0.053;0.649;0.12168189
0.352;0.053;0.648;0.12168189
0.353;0.053;0.647;0.12168189
0.354;0.053;0.646;0.12168189
0.355;0.053;0.645;0.12168189
0.356;0.053;0.644;0.12168189
0.357;0.053;0.643;0.12168189
0.358;0.053;0.642;0.12168189
0.359;0.053;0.641;0.12168189
0.36;0.053;0.64;0.12168189
0.361;0.053;0.639;0.12168189
0.362;0.053;0.638;0.12168189
0.363;0.053;0.637;0.12168189
0.364;0.053;0.636;0.12168189
0.365;0.053;0.635;0.12168189
0.366;0.053;0.634;0.12168189
0.367;0.053;0.633;0.12168189
0.368;0.053;0.632;0.12168189
0.369;0.053;0.631;0.12168189
0.37;0.053;0.63;0.12168189
0.371;0.053;0.629;0.12168189
0.372;0.053;0.628;0.12168189
0.373;0.053;0.627;0.12168189
0.374;0.053;0.626;0.12168189
0.375;0.053;0.625;0.12168189
0.376;0.053;0.624;0.12168189
0.377;0.053;0.623;0.12168189
0.378;0.053;0.622;0.12168189
0.379;0.053;0.621;0.12168189
0.38;0.053;0.62;0.12168189
0.381;0.053;0.619;0.12168189
0.382;0.053;0.618;0.12168189
0.383;0.053;0.617;0.12168189
0.384;0.053;0.616;0.12168189
0.385;0.053;0.615;0.12168189
0.386;0.053;0.614;0.12168189
0.387;0.053;0.613;0.12168189
0.388;0.053;0.612;0.12168189
0.389;0.053;0.611;0.12168189
0.39;0.053;0.61;0.12168189
0.391;0.053;0.609;0.12168189
0.392;0.053;0.608;0.12168189
0.393;0.053;0.607;0.12168189
0.394;0.053;0.606;0.12168189
0.395;0.053;0.605;0.12168189
0.396;0.053;0.604;0.12168189
0.397;0.053;0.603;0.12168189
0.398;0.053;0.602;0.12168189
0.399;0.053;0.601;0.12168189
0.4;0.053;0.6;0.12168189
0.401;0.053;0.599;0.12168189
0.402;0.053;0.598;0.12168189
0.403;0.053;0.597;0.12168189
0.404;0.053;0.596;0.12168189
0.405;0.053;0.595;0.12168189
0.406;0.053;0.594;0.12168189
0.407;0.053;0.593;0.12168189
0.408;0.053;0.592;0.12168189
0.409;0.053;0.591;0.12168189
0.41;0.053;0.59;0.12168189
0.411;0.053;0.589;0.12168189
0.412;0.053;0.588;0.12168189
0.413;0.053;0.587;0.12168189
0.414;0.053;0.586;0.12168189
0.415;0.053;0.585;0.12168189
0.416;0.053;0.584;0.12168189
0.417;0.053;0.583;0.12168189
0.418;0.053;0.582;0.12168189
0.419;0.053;0.581;0.12168189
0.42;0.053;0.58;0.12168189
0.421;0.053;0.579;0.12168189
0.422;0.053;0.578;0.12168189
0.423;0.053;0.577;0.12168189
0.424;0.053;0.576;0.12168189
0.425;0.053;0.575;0.12168189
0.426;0.053;0.574;0.12168189
0.427;0.053;0.573;0.12168189
0.428;0.053;0.572;0.12168189
0.429;0.053;0.571;0.12168189
0.43;0.053;0.57;0.12168189
0.431;0.053;0.569;0.12168189
0.432;0.053;0.568;0.12168189
0.433;0.053;0.567;0.12168189
0.434;0.053;0.566;0.12168189
0.435;0.053;0.565;0.12168189
0.436;0.053;0.564;0.12168189
0.437;0.053;0.563;0.12168189
0.438;0.053;0.562;0.12168189
0.439;0.053;0.561;0.12168189
0.44;0.053;0.56;0.12168189
0.441;0.053;0.559;0.12168189
0.442;0.053;0.558;0.12168189
0.443;0.053;0.557;0.12168189
0.444;0.053;0.556;0.12168189
0.445;0.053;0.555;0.12168189
0.446;0.053;0.554;0.12168189
0.447;0.053;0.553;0.12168189
0.448;0.053;0.552;0.12168189
0.449;0.053;0.551;0.12168189
0.45;0.053;0.55;0.12168189
0.451;0.053;0.549;0.12168189
0.452;0.053;0.548;0.12168189
0.453;0.053;0.547;0.12168189
0.454;0.053;0.546;0.12168189
0.455;0.053;0.545;0.12168189
0.456;0.053;0.544;0.12168189
0.457;0.053;0.543;0.12168189
0.458;0.053;0.542;0.12168189
0.459;0.053;0.541;0.12168189
0.46;0.053;0.54;0.12168189
0.461;0.053;0.539;0.12168189
0.462;0.053;0.538;0.12168189
0.463;0.053;0.537;0.12168189
0.464;0.053;0.536;0.12168189
0.465;0.053;0.535;0.12168189
0.466;0.053;0.534;0.12168189
0.467;0.053;0.533;0.12168189
0.468;0.053;0.532;0.12168189
0.469;0.053;0.531;0.12168189
0.47;0.053;0.53;0.12168189
0.471;0.053;0.529;0.12168189
0.472;0.053;0.528;0.12168189
0.473;0.053;0.527;0.12168189
0.474;0.053;0.526;0.12168189
0.475;0.053;0.525;0.12168189
0.476;0.053;0.524;0.12168189
0.477;0.053;0.523;0.12168189
0.478;0.053;0.522;0.12168189
0.479;0.053;0.521;0.12168189
0.48;0.053;0.52;0.12168189
0.481;0.053;0.519;0.12168189
0.482;0.053;0.518;0.12168189
0.483;0.053;0.517;0.12168189
0.484;0.053;0.516;0.12168189
0.485;0.053;0.515;0.12168189
0.486;0.053;0.514;0.12168189
0.487;0.053;0.513;0.12168189
0.488;0.053;0.512;0.12168189
0.489;0.053;0.511;0.12168189
0.49;0.053;0.51;0.12168189
0.491;0.053;0.509;0.12168189
0.492;0.053;0.508;0.12168189
